domain,LLM Judge,Reference condition,Misplace rate
math,Qwen3-0.6B,ref,48.6%
math,Qwen3-0.6B,noref,48.5%
math,Qwen3-0.6B,wrongref,47.5%
math,Qwen3-4B,ref,17.8%
math,Qwen3-4B,noref,39.2%
math,Qwen3-4B,wrongref,50.4%
math,Qwen3-8B,ref,18.8%
math,Qwen3-8B,noref,36.0%
math,Qwen3-8B,wrongref,52.6%
math,Qwen3-14B,ref,18.2%
math,Qwen3-14B,noref,38.5%
math,Qwen3-14B,wrongref,50.2%
sciknow-mcq,Qwen3-0.6B,ref,42.0%
sciknow-mcq,Qwen3-0.6B,noref,47.1%
sciknow-mcq,Qwen3-0.6B,wrongref,44.1%
sciknow-mcq,Qwen3-4B,ref,14.0%
sciknow-mcq,Qwen3-4B,noref,37.5%
sciknow-mcq,Qwen3-4B,wrongref,46.0%
sciknow-mcq,Qwen3-8B,ref,9.8%
sciknow-mcq,Qwen3-8B,noref,31.9%
sciknow-mcq,Qwen3-8B,wrongref,48.8%
sciknow-mcq,Qwen3-14B,ref,14.7%
sciknow-mcq,Qwen3-14B,noref,29.3%
sciknow-mcq,Qwen3-14B,wrongref,47.6%
sciknow-oe,Qwen3-0.6B,ref,49.4%
sciknow-oe,Qwen3-0.6B,noref,50.0%
sciknow-oe,Qwen3-0.6B,wrongref,51.6%
sciknow-oe,Qwen3-4B,ref,11.4%
sciknow-oe,Qwen3-4B,noref,25.2%
sciknow-oe,Qwen3-4B,wrongref,36.7%
sciknow-oe,Qwen3-8B,ref,19.1%
sciknow-oe,Qwen3-8B,noref,37.0%
sciknow-oe,Qwen3-8B,wrongref,43.1%
sciknow-oe,Qwen3-14B,ref,12.3%
sciknow-oe,Qwen3-14B,noref,27.6%
sciknow-oe,Qwen3-14B,wrongref,36.4%
lcb,Qwen3-4B,ref,9.7%
lcb,Qwen3-4B,noref,8.2%
lcb,Qwen3-4B,wrongref,10.0%
